SU,Area_km2,Park_Area,Region,Moose_Seen,Moose_Tracks,Total_Moose_Estimate
142,4.71339,4.71339,Park,0,0,0
143,4.71349,4.45901,Park,0,0,0
144,4.71359,4.71359,Park,0,0,0
145,4.71369,4.65359,Park,0,0,0
146,4.7138,4.7138,Park,0,0,0
147,4.7139,4.7139,Park,0,0,0
148,4.71401,4.71401,Park,1,0,1
149,4.71412,4.71412,Park,0,1,0
150,4.71423,4.71423,Park,2,0,2
151,4.71434,4.71434,Park,0,0,0
152,4.71445,4.71445,Park,0,0,0
153,4.71457,4.71457,Park,0,0,0
154,4.71468,4.71468,Park,0,0,0
155,4.7148,4.7148,Park,0,0,0
156,4.68185,4.54333,Park,0,2,0
157,1.47166,0.41656,Park,0,0,0
158,2.67055,2.67051,Park,0,0,0
159,4.71474,4.71474,Park,0,0,0
160,4.71484,4.71484,Park,0,0,0
161,4.71494,4.71494,Park,1,0,1
162,4.71504,4.71504,Park,0,2,1
163,4.71514,4.71514,Park,1,0,1
164,4.71524,4.71524,Park,0,0,0
165,4.71535,4.71535,Park,0,0,0
166,4.71545,4.71545,Park,2,7,2
167,4.71556,4.71556,Park,1,0,1
168,4.71567,4.71567,Park,0,0,0
169,4.71578,4.71578,Park,1,4,2
170,4.7159,4.7159,Park,0,5,3
171,4.71601,4.71601,Park,0,0,0
172,4.71613,4.71613,Park,0,0,0
173,4.71624,4.71624,Park,0,1,0
174,4.71636,4.71636,Park,0,0,0
175,1.78136,1.77657,Park,0,0,0
176,0.17084,0.17083,Park,0,0,0
177,4.24338,4.24336,Park,1,0,1
178,4.71618,4.71618,Park,0,4,2
179,4.71628,4.71628,Park,1,1,2
180,4.71638,4.71638,Park,2,6,4
181,4.71648,4.71648,Park,3,1,3
182,4.71658,4.71658,Park,0,0,0
183,4.71669,4.71669,Park,0,0,0
184,4.71679,4.71679,Park,0,0,0
185,4.7169,4.7169,Park,1,4,2
186,4.71701,4.71701,Park,2,1,2
187,4.71712,4.71712,Park,0,0,0
188,4.71723,4.71723,Park,0,0,0
189,4.71734,4.71734,Park,0,0,0
190,4.71745,4.71745,Park,2,0,2
191,4.71757,4.71757,Park,0,0,0
192,4.71769,4.71769,Park,0,0,0
193,4.71781,4.71781,Park,0,1,0
194,0.96573,0.95639,Park,0,0,0
195,1.27851,1.27848,Park,3,0,3
196,4.71753,4.71753,Park,4,0,4
197,4.71763,4.71763,Park,0,0,0
198,4.71772,4.71772,Park,0,1,0
